i.data, BY, AGE, R, i, m, d, d.rate, i.rate, m.rate, N, S.i, S.m, I, M, D, I.est, M.est, i.iter, d.est, i.est, m.est, d.sd, i.sd, m.sd, LL, maxgrad, m.start, d.start, i.start
1, 1988, 3, 67780, 0.0466321243523316, 0.190217391304348, 0.345241763937242, 0.337349397590361, 0.0841121495327103, 0.153061224489796, 107, 2, 15, 9, 15, 28, 10, 15, 1, 0.33249, 0.11563, 0.17994, 0.077103, 0.012979, 0.042894, 1183.47, 4.43928e-05, 0.153061224489796, 0.337349397590361, 0.0841121495327103
1, 1988, 4, 67780, 0.10738255033557, 0.9950874435056, 0.267044349277317, NA, 0.0727272727272727, 1, 55, 1, 51, 4, 51, 0, 5, 51, 1, 0.30262, 0.051869, 0.95187, 0.068611, 0.010195, 0.0059198, 1183.47, 4.43928e-05, 1, NA, 0.0727272727272727
1, 1988, 5, 67780, 0.292913795100716, 1, NA, NA, NA, NA, 0, 0, 0, 0, 0, NA, 0, 0, 1, NA, 0.083039, 1, NA, 0.0098956, NA, 1183.47, 4.43928e-05, NA, NA, NA
1, 1989, 1, 67780, 0, 0, 0.97314090529829, 0.973074653290056, 0, 0, 67780, 0, 0, 0, 0, 65955, 0, 0, 1, 0.97399, 0, 0, 0.0050407, NA, NA, 1183.47, 4.43928e-05, 0, 0.973074653290056, 0
1, 1989, 2, 67780, 0.00017732762060234, 0.0116493544316086, 0.345241763937242, 0.355124653739612, 0.000547945205479452, 0.0104166666666667, 1825, 0, 19, 1, 19, 641, 0, 19, 1, 0.33249, 0.0008351, 0.0081257, 0.077103, 0.00019433, 0.0014464, 1183.47, 4.43928e-05, 0.0104166666666667, 0.355124653739612, 0.000547945205479452
1, 1989, 3, 67780, 0.0277379432275808, 0.253126704786535, 0.267044349277317, 0.273464658169177, 0.024914089347079, 0.239647577092511, 1164, 4, 272, 29, 272, 236, 20, 272, 1, 0.30262, 0.018753, 0.2417, 0.068611, 0.0039945, 0.023346, 1183.47, 4.43928e-05, 0.239647577092511, 0.273464658169177, 0.024914089347079
1, 1989, 4, 67780, 0.0637089138374138, 0.929211210632765, 0.380720590868449, 0.441860465116279, 0.0701754385964912, 0.926243567753002, 627, 7, 540, 44, 540, 19, 35, 540, 1, 0.3643, 0.083039, 0.95187, 0.083, 0.0098956, 0.0059198, 1183.47, 4.43928e-05, 0.926243567753002, 0.441860465116279, 0.0701754385964912
1, 1989, 5, 67780, 0.0790816326530612, 1, NA, NA, 0.0416666666666667, 1, 24, 0, 23, 1, 23, NA, 0, 23, 1, NA, 0.19249, 1, NA, 0.019684, NA, 1183.47, 4.43928e-05, 1, NA, 0.0416666666666667
1, 1990, 1, 67780, 0, 0, 0.991103552037679, 0.99131012097964, 0, 0, 67780, 0, 0, 0, 0, 67191, 0, 0, 1, 0.99035, 0, 0, 0.0016908, NA, NA, 1183.47, 4.43928e-05, 0, 0.99131012097964, 0
1, 1990, 2, 67780, 0.00017732762060234, 0.00490196078431373, 0.267044349277317, 0.249146757679181, 0, 0.00509337860780985, 589, 0, 3, 0, 3, 146, 0, 3, 1, 0.30262, 0.0001287, 0.017623, 0.068611, 3.801e-05, 0.0034282, 1183.47, 4.43928e-05, 0.00509337860780985, 0.249146757679181, 0
