i.data, BY, AGE, R, i, m, d, d.rate, i.rate, m.rate, N, S.i, S.m, I, M, D, I.est, M.est
1, 2001, 4, 67780, 0.00017732762060234, 0.898407468423943, 0.339980650653301, 0.266666666666667, 0, 0.927536231884058, 207, 0, 192, 0, 192, 4, 0, 192
1, 2001, 5, 67780, 0.00017732762060234, 1, NA, NA, 0, 1, 11, 0, 11, 0, 11, NA, 0, 11
1, 2002, 1, 67780, 0, 0, 0.990854411860329, 0.990793744467395, 0, 0, 67780, 0, 0, 0, 0, 67156, 0, 0
1, 2002, 2, 67780, 0.00017732762060234, 0.00568787771062922, 0.201748857722773, 0.188405797101449, 0, 0.00480769230769231, 624, 0, 3, 0, 3, 117, 0, 3
1, 2002, 3, 67780, 0.00017732762060234, 0.593016327017042, 0.339980650653301, 0.36405529953917, 0, 0.569444444444444, 504, 0, 287, 0, 287, 79, 0, 287
1, 2002, 4, 67780, 0.00017732762060234, 0.9950874435056, 0.319471381767528, 0, 0, 0.992753623188406, 138, 0, 137, 0, 137, 0, 0, 137
1, 2002, 5, 67780, 0.292913795100716, 1, NA, NA, 1, NaN, 1, 1, 0, 1, 0, NA, 5, 0
1, 2003, 1, 67780, 0, 0, 0.98909313132291, 0.988979049867218, 0, 0, 67780, 0, 0, 0, 0, 67033, 0, 0
1, 2003, 2, 67780, 0.00017732762060234, 0.0173970930877621, 0.339980650653301, 0.317006802721088, 0, 0.0160642570281124, 747, 0, 12, 0, 12, 233, 0, 12
1, 2003, 3, 67780, 0.00017732762060234, 0.387886452428807, 0.319471381767528, 0.352159468438538, 0, 0.400398406374502, 502, 0, 201, 0, 201, 106, 0, 201
1, 2003, 4, 67780, 0.0564471499723298, 0.95405669599218, 0.630864054420789, 0.777777777777778, 0.041025641025641, 0.951871657754011, 195, 2, 178, 8, 178, 7, 10, 178
1, 2003, 5, 67780, 0.00017732762060234, 1, NA, NA, 0, 1, 2, 0, 2, 0, 2, NA, 0, 2
2, 1979, 1, 67780, 0, 0, 0.938655494505494, 0.938020064915904, 0, 0, 67780, 0, 0, 0, 0, 63579, 0, 0
2, 1979, 2, 67780, 0.00017732762060234, 0.00519494478131969, 0.451869645500778, 0.443355640535373, 0.000238038562247084, 0.00380952380952381, 4201, 0, 16, 1, 16, 1855, 0, 16
2, 1979, 3, 67780, 0.470274699055525, 0.184923939831733, 0.598404840737821, 0.607212475633528, 0.462430227565479, 0.180511182108626, 2329, 211, 226, 1077, 226, 623, 1055, 226
2, 1979, 4, 67780, 0.825878427692629, 0.952095808383233, 0.2533993061295, 0.2, 0.801488833746898, 0.9375, 403, 62, 75, 323, 75, 1, 310, 75
2, 1979, 5, 67780, 0.375, 1, NA, NA, 0.75, 1, 4, 1, 1, 3, 1, NA, 5, 1
2, 1980, 1, 67780, 0, 0, 0.964292309891366, 0.964414281498967, 0, 0, 67780, 0, 0, 0, 0, 65368, 0, 0
2, 1980, 2, 67780, 0.00742961679029346, 0.0216168256336835, 0.598404840737821, 0.59641638225256, 0.00787728026533997, 0.0204763894692854, 2412, 2, 49, 19, 49, 1398, 10, 49
2, 1980, 3, 67780, 0.151033615696943, 0.156927484159161, 0.2533993061295, 0.258594917787743, 0.159619450317125, 0.158490566037736, 946, 38, 126, 151, 126, 173, 190, 126
2, 1980, 4, 67780, 0.494485558787111, 0.838507547707206, 0.190587845622456, 0.138888888888889, 0.51008064516129, 0.851851851851852, 496, 53, 207, 253, 207, 5, 265, 207
2, 1980, 5, 67780, 0.135802469135802, 1, NA, NA, 0.129032258064516, 1, 31, 1, 27, 4, 27, NA, 5, 27
2, 1981, 1, 67780, 0, 0, 0.983700007647014, 0.983682502213042, 0, 0, 67780, 0, 0, 0, 0, 66674, 0, 0
2, 1981, 2, 67780, 0.00017732762060234, 0.00187656869414276, 0.2533993061295, 0.253853127833182, 0, 0.0027124773960217, 1106, 0, 3, 0, 3, 280, 0, 3
2, 1981, 3, 67780, 0.162064346313835, 0.127892301220025, 0.190587845622456, 0.178333333333333, 0.176184690157959, 0.115044247787611, 823, 29, 78, 145, 78, 107, 145, 78
2, 1981, 4, 67780, 0.352789837594469, 0.993788819875776, 0.461318193158469, 0.666666666666667, 0.31237322515213, 0.991150442477876, 493, 33, 336, 154, 336, 2, 165, 336
2, 1981, 5, 67780, 0.00017732762060234, 1, NA, NA, 0, 1, 1, 0, 1, 0, 1, NA, 0, 1
2, 1982, 1, 67780, 0, 0, 0.927440644995796, 0.927308940690469, 0, 0, 67780, 0, 0, 0, 0, 62853, 0, 0
2, 1982, 2, 67780, 0.000432087399496716, 0.00510869485127066, 0.190587845622456, 0.191263523167993, 0.000202963263649279, 0.00548112058465286, 4927, 0, 27, 1, 27, 937, 0, 27
2, 1982, 3, 67780, 0.315561052561415, 0.372233944705946, 0.461318193158469, 0.454654654654655, 0.312973245835437, 0.388317413666422, 3962, 250, 1057, 1240, 1057, 757, 1250, 1057
2, 1982, 4, 67780, 0.556867476801976, 0.988006482982172, 0.364293424430591, 0.666666666666667, 0.556167400881057, 0.985111662531017, 908, 109, 397, 505, 397, 4, 545, 397
