i.data, BY, AGE, R, i, m, d, d.rate, i.rate, m.rate, N, S.i, S.m, I, M, I.est, M.est, D
1, 1984, 3, 67780, 0.0588085803718659, 0.358104384372718, 0.57955039100955, 0.57955039100955, 0.0588085803718659, 0.358104384372718, 6206.21995465183, 72.9957970017241, 2091.77400140678, 364.97898500862, 2091.77400140678, 364.97898500862, 2091.77400140678, 2173.00504751882
1, 1984, 4, 67780, 0.205810941170267, 0.948896315421268, 0.319743408199062, 0.319743408199062, 0.205810941170267, 0.948896315421268, 1576.46192071762, 64.8906223243959, 1188.02654582582, 324.453111621979, 1188.02654582582, 324.453111621979, 1188.02654582582, 20.4579069221811
1, 1984, 5, 67780, 0.138022616030134, 1, NA, NA, 0.138022616030134, 1, 43.5243563476363, 1.20146910482571, 37.5170108235078, 6.00734552412853, 37.5170108235078, 6.00734552412853, 37.5170108235078, NA
1, 1985, 1, 67780, 0, 0, 0.836250514402097, 0.836250514402097, 0, 0, 67780, 0, 0, 0, 0, 0, 0, 56681.0598661741
1, 1985, 2, 67780, 0.000156179842651483, 0.00920268866310625, 0.57955039100955, 0.57955039100955, 0.000156179842651483, 0.00920268866310625, 11098.9401338259, 0.346686144739831, 102.124138318785, 1.73343072369915, 102.124138318785, 1.73343072369915, 102.124138318785, 6372.2043996025
1, 1985, 3, 67780, 0.0854985867775956, 0.27721744956105, 0.319743408199062, 0.319743408199062, 0.0854985867775956, 0.27721744956105, 4622.87816518089, 79.049909993594, 1171.97242240064, 395.24954996797, 1171.97242240064, 395.24954996797, 1171.97242240064, 977.025925374369
1, 1985, 4, 67780, 0.138022616030134, 0.948896315421268, 0.738294568304261, 0.738294568304261, 0.138022616030134, 0.948896315421268, 2078.63026743791, 57.3795974542395, 1700.16815887154, 286.897987271198, 1700.16815887154, 286.897987271198, 1700.16815887154, 67.6012934037781
1, 1985, 5, 67780, 0.134230720061338, 1, NA, NA, 0.134230720061338, 1, 23.962827891394, 0.643309528513546, 20.7462802488263, 3.21654764256773, 20.7462802488263, 3.21654764256773, 20.7462802488263, NA
1, 1986, 1, 67780, 0, 0, 0.987118277959303, 0.987118277959303, 0, 0, 67780, 0, 0, 0, 0, 0, 0, 66906.8768800816
1, 1986, 2, 67780, 0.000230301010401224, 0.0151868247383129, 0.319743408199062, 0.319743408199062, 0.000230301010401224, 0.0151868247383129, 873.12311991844, 0.0402162273443772, 13.2569140131887, 0.201081136721886, 13.2569140131887, 0.201081136721886, 13.2569140131887, 274.872256903362
1, 1986, 3, 67780, 0.0559796369813155, 0.415719153835346, 0.738294568304261, 0.738294568304261, 0.0559796369813155, 0.415719153835346, 584.792867865168, 6.5472984904709, 229.500409256023, 32.7364924523545, 229.500409256023, 32.7364924523545, 229.500409256023, 238.141317787692
1, 1986, 4, 67780, 0.134230720061338, 0.948896315421268, 0.659277698535569, 0.659277698535569, 0.134230720061338, 0.948896315421268, 84.4146483690991, 2.26620780686176, 69.3487676154699, 11.3310390343088, 69.3487676154699, 11.3310390343088, 69.3487676154699, 2.46229785310818
1, 1986, 5, 67780, 0.286456106012595, 1, NA, NA, 0.286456106012595, 1, 1.27254386621222, 0.072905592129073, 0.908015905566854, 0.364527960645365, 0.908015905566854, 0.364527960645365, 0.908015905566854, NA
1, 1987, 1, 67780, 0, 0, 0.855608579972092, 0.855608579972092, 0, 0, 67780, 0, 0, 0, 0, 0, 0, 57993.1495505084
1, 1987, 2, 67780, 0.00014844677283643, 0.0197965194623336, 0.738294568304261, 0.738294568304261, 0.00014844677283643, 0.0197965194623336, 9786.8504494916, 0.290565273091958, 193.71681449289, 1.45282636545979, 193.71681449289, 1.45282636545979, 193.71681449289, 7081.48584192215
1, 1987, 3, 67780, 0.0543710879939396, 0.504468407749902, 0.659277698535569, 0.659277698535569, 0.0543710879939396, 0.504468407749902, 2510.1949667111, 27.2964062833987, 1197.46318492316, 136.482031416993, 1197.46318492316, 136.482031416993, 1197.46318492316, 775.475228327592
1, 1987, 4, 67780, 0.286456106012595, 0.948896315421268, 0.658386192373351, 0.658386192373351, 0.286456106012595, 0.948896315421268, 400.77452204335, 22.9608617947194, 271.356081502124, 114.804308973597, 271.356081502124, 114.804308973597, 271.356081502124, 9.62174243765474
1, 1987, 5, 67780, 0.336298210580261, 1, NA, NA, 0.336298210580261, 1, 4.9923891299747, 0.335786306186168, 3.31345759904386, 1.67893153093084, 3.31345759904386, 1.67893153093084, 3.31345759904386, NA
1, 1988, 1, 67780, 0, 0, 0.998809404450233, 0.998809404450233, 0, 0, 67780, 0, 0, 0, 0, 0, 0, 67699.3014336368
1, 1988, 2, 67780, 0.000144060018469783, 0.00435107414195235, 0.659277698535569, 0.659277698535569, 0.000144060018469783, 0.00435107414195235, 80.6985663632076, 0.00232508739215374, 0.35107486225743, 0.0116254369607687, 0.35107486225743, 0.0116254369607687, 0.35107486225743, 52.9636448885287
1, 1988, 3, 67780, 0.122701069611324, 0.14197371370519, 0.658386192373351, 0.658386192373351, 0.122701069611324, 0.14197371370519, 27.3722211754608, 0.671720163173354, 3.40930286195812, 3.35860081586677, 3.40930286195812, 3.35860081586677, 3.40930286195812, 13.5655981437201
1, 1988, 4, 67780, 0.336298210580261, 0.948896315421268, 0.627080346162871, 0.627080346162871, 0.336298210580261, 0.948896315421268, 7.03871935391578, 0.473421744699705, 4.43287411428576, 2.36710872349853, 4.43287411428576, 2.36710872349853, 4.43287411428576, 0.149706977177456
