i.data, BY, AGE, R, i, m, d, d.rate, i.rate, m.rate, N, S.i, S.m, I, M, D, I.est, M.est
2, 1983, 2, 67780, 0.00078274292623115, 0.00430596029934838, 0.330800332724195, 0.330186020293123, 0.0014009526478005, 0.00448933782267116, 7138, 2, 32, 10, 32, 2343, 10, 32
2, 1983, 3, 67780, 0.114214064063873, 0.140607463251634, 0.302489465753857, 0.299645873059112, 0.111508520934147, 0.130712763438314, 4753, 118, 552, 530, 552, 1100, 590, 552
2, 1983, 4, 67780, 0.144666698273007, 0.948896315421268, 0.57955039100955, 0.540983606557377, 0.152469856087126, 0.94401101422671, 2571, 78, 2057, 392, 2057, 66, 390, 2057
2, 1983, 5, 67780, 0.205810941170267, 1, NA, NA, 0.142857142857143, 1, 56, 0, 48, 8, 48, NA, 0, 48
2, 1984, 1, 67780, 0, 0, 0.867017775331091, 0.86701091767483, 0, 0, 67780, 0, 0, 0, 0, 58766, 0, 0
2, 1984, 2, 67780, 0.000312496277048324, 0.0125457793054863, 0.302489465753857, 0.303135888501742, 0.000443754160195252, 0.0125416204217536, 9014, 0, 113, 4, 113, 2697, 0, 113
2, 1984, 3, 67780, 0.0588085803718659, 0.358104384372718, 0.57955039100955, 0.574154852780807, 0.0614516129032258, 0.369651142808043, 6200, 78, 2151, 381, 2151, 2106, 390, 2151
2, 1984, 4, 67780, 0.205810941170267, 0.948896315421268, 0.319743408199062, 0.311475409836066, 0.208066581306018, 0.950687146321746, 1562, 68, 1176, 325, 1176, 19, 340, 1176
2, 1984, 5, 67780, 0.138022616030134, 1, NA, NA, 0.0952380952380952, 1, 42, 1, 38, 4, 38, NA, 5, 38
2, 1985, 1, 67780, 0, 0, 0.836250514402097, 0.839288875774565, 0, 0, 67780, 0, 0, 0, 0, 56887, 0, 0
2, 1985, 2, 67780, 0.000156179842651483, 0.00920268866310625, 0.57955039100955, 0.58516458043579, 0.000275406224180667, 0.00964187327823691, 10893, 0, 105, 3, 105, 6311, 0, 105
2, 1985, 3, 67780, 0.0854985867775956, 0.27721744956105, 0.319743408199062, 0.327714093054619, 0.0878408582923558, 0.273217348689047, 4474, 70, 1115, 393, 1115, 972, 350, 1115
